model_ref,run_id,fci,verdict,critical_gate_failed,n_samples
ollama/qwen2.5:3b,convfinqa-structured_financial_v1-context_given-model_history-ollama-qwen2.5-3b-9496e179,,NOT_FINANCE_READY,True,120
ollama/qwen2.5:3b,convfinqa-structured_financial_v1-context_given-ollama-qwen2.5-3b-42cef1f9,,NOT_FINANCE_READY,True,120
ollama/qwen2.5:3b,core_real-structured_financial_v1-context_given-ollama-qwen2.5-3b-b2a54a41,,INSUFFICIENT_COVERAGE,True,9
ollama/qwen2.5:3b,finance_reasoning-structured_financial_v1-context_given-ollama-qwen2.5-3b-6fdd075c,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:3b,financebench-structured_financial_v1-context_given-ollama-qwen2.5-3b-56183cfb,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:3b,financebench-structured_financial_v1-retrieval_required-bm25-k10-scoped-ollama-qwen2.5-3b-411f70f5,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:3b,financebench-structured_financial_v1-retrieval_required-hybrid-k20-scoped-ollama-qwen2.5-3b-1c22b701,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:3b,finqa-program_v1-context_given-ollama-qwen2.5-3b-0b50533c,,INSUFFICIENT_COVERAGE,True,12
ollama/qwen2.5:3b,finqa-structured_financial_v1-context_given-ollama-qwen2.5-3b-62bc0ec0,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:3b,release_v0_1-structured_financial_v1-context_given-ollama-qwen2.5-3b-ca23b163,,NOT_FINANCE_READY,True,220
ollama/qwen2.5:3b,secque-structured_financial_v1-context_given-ollama-qwen2.5-3b-273a5ad4,,NOT_FINANCE_READY,True,80
ollama/qwen2.5:3b,smb_cfo-structured_financial_v1-context_given-ollama-qwen2.5-3b-ddda1ed3,,NOT_FINANCE_READY,True,30
ollama/qwen2.5:3b,tatqa-structured_financial_v1-context_given-ollama-qwen2.5-3b-3dd38d48,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:3b,tatqa-structured_financial_v1-tool_assisted-ollama-qwen2.5-3b-ecf8911d,,INSUFFICIENT_COVERAGE,True,6
ollama/qwen2.5:3b,tool_paired_v1-structured_financial_v1-context_given-ollama-qwen2.5-3b-c3de9553,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:3b,tool_paired_v1-structured_financial_v1-tool_assisted-ollama-qwen2.5-3b-29fa8863,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:7b,finance_reasoning-structured_financial_v1-context_given-ollama-qwen2.5-7b-8227b883,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:7b,finqa-structured_financial_v1-context_given-ollama-qwen2.5-7b-fb168ffc,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:7b,release_v0_1-structured_financial_v1-context_given-ollama-qwen2.5-7b-8b4bdf35,,NOT_FINANCE_READY,True,220
ollama/qwen2.5:7b,secque-structured_financial_v1-context_given-ollama-qwen2.5-7b-78a363b8,,NOT_FINANCE_READY,True,80
ollama/qwen2.5:7b,tatqa-structured_financial_v1-context_given-ollama-qwen2.5-7b-16c8eb64,,NOT_FINANCE_READY,True,40
ollama/qwen2.5:7b,tool_paired_v1-structured_financial_v1-context_given-ollama-qwen2.5-7b-6a22c0f5,,NOT_FINANCE_READY,True,150
ollama/qwen2.5:7b,tool_paired_v1-structured_financial_v1-tool_assisted-ollama-qwen2.5-7b-c45d530c,,NOT_FINANCE_READY,True,150
